promotion_id,book_id,publisher_id,promotion_budget,promotion_start_date,promotion_end_date
46,78505086-040f-430a-90b7-944357e1881f,43,159975.08,2025-01-17,2025-01-31
47,16082092-d9c3-4584-8b61-b70ab76731fe,30,480786.48,2025-05-31,2025-06-07
48,e4c69902-ad56-4a75-912b-955c9ed13233,9,338300.6,2024-01-13,2024-02-24
49,00a2e068-5672-4b0b-aa44-2652b13f725c,37,124359.9,2024-01-21,2024-02-04
50,6e3cea2a-70c0-4f72-aeec-4ab8a06bcd22,16,479470.34,2025-08-21,2025-09-04
51,1e505141-0b78-4f55-9b55-712f3aafa81a,31,157150.02,2025-06-29,2025-07-20
52,be9b15b6-78e4-41cd-8eab-9c67da5933d0,8,125457.91,2025-10-23,2025-12-04
53,21433e14-11d4-439f-a41a-eeb74f2662af,4,346591.8,2025-03-12,2025-03-19
54,91b946fa-1b9a-474c-a569-b7947b0d1b28,46,65893.38,2024-12-01,2024-12-15
55,f068e8c7-c7a9-4f85-83e5-58ece3d6f343,9,153171.75,2024-10-17,2024-11-28
56,4376f50c-c91a-4e02-b8bb-1340d648eb2a,5,453359.55,2025-04-17,2025-05-15
57,77b478ed-3021-4d36-a084-25a9563c205e,25,379975.37,2025-06-27,2025-08-22
58,497e5e6b-d10a-48e7-ba86-9cd858ff2ae1,14,346652.52,2024-05-23,2024-07-18
59,fc092998-ef88-49c2-b8e4-e3020e963eb5,16,108447.97,2025-06-05,2025-07-24
60,8f337b21-0a94-4985-9c22-51b2fca85aba,1,315182.51,2024-09-04,2024-09-11
61,c0aba0b2-8c02-477b-a50a-04910a6a9f2e,6,186525.44,2025-07-11,2025-08-22
62,9285e184-9bda-479b-aeb2-044031ce1531,16,47544.37,2024-10-25,2024-12-20
63,173486d5-7a44-4f16-bb17-8363d2ab6482,16,294467.67,2024-12-08,2025-01-26
64,a15ac9f0-7e4b-4d55-989c-866d57180a4f,23,395977.68,2025-08-04,2025-08-25
65,c8a24d48-c31d-46b0-b78b-7e908bc52b75,19,126819.17,2024-04-28,2024-05-12
66,746c317e-6890-432d-b0c9-eb3ce76b1d5d,9,419967.99,2025-09-20,2025-09-27
67,1c226f3a-8f1a-4aed-8049-252f0135ff28,12,231183.19,2024-09-02,2024-10-28
68,bac3add3-827e-485c-a6f9-22387196990b,25,207880.32,2024-06-11,2024-07-30
69,e576831a-bc77-49c6-b90b-5a1a4337ea12,12,263013.81,2024-12-17,2025-01-14
70,63530a2c-ed0a-4568-8e07-25fee851ea93,5,409415.11,2025-01-21,2025-02-25
71,8fa7fd4a-6f9b-4e22-a538-ea366b6117c0,7,313608.66,2025-02-26,2025-03-12
72,ff8eb609-3e4d-4440-98b8-466a8e0f3ea2,14,170707.24,2025-04-17,2025-05-29
73,ef4f3f01-0371-47c3-bed2-299dd5a3322f,17,26212.58,2025-10-12,2025-11-16
74,8e56106b-3560-44ed-8bb4-d1191a0ad026,13,336293.02,2025-01-17,2025-01-31
75,6da77b1d-4f57-481a-ba8a-3616bbf77455,32,490163.96,2025-07-13,2025-07-20
76,bed817b5-38a0-465f-aba3-92750c5d0f4d,32,212750.72,2024-01-09,2024-02-13
77,f053f6d7-bb13-46ab-b690-49dd70ccf64f,7,135332.08,2025-03-08,2025-03-29
78,4a1431a5-b373-448c-9ebe-ce6fb5459b47,8,266789.93,2024-09-22,2024-10-27
79,1ba4fbde-2068-4912-b572-4ffac403e34c,21,398152.23,2025-08-15,2025-09-12
80,1df2d7fd-c01a-460d-8f4f-33c60a7508c3,3,212102.6,2024-01-23,2024-03-12
81,6b9bb14f-aa56-43cb-9dac-0b8ea09f5ced,49,430978.98,2025-02-15,2025-03-22
82,13bb9bfe-8d65-486b-b0fe-357338e7a274,12,90700.94,2025-11-06,2025-11-13
83,b77b2562-0514-4561-843b-35e89039180e,33,229900.65,2025-07-03,2025-08-07
84,bda20679-8240-4975-8700-f627dec95c4c,8,428560.92,2024-10-03,2024-11-14
85,298aecd8-8e26-40ea-90a2-b0e018af4afd,48,446914.54,2024-08-30,2024-10-11
86,b30a54ab-fe37-49ce-ba3f-17046676ca63,30,136611.62,2024-05-19,2024-07-14
87,626546ba-f184-40a7-bd11-0d2a98b5c3dd,28,403991.83,2024-07-20,2024-07-27
88,a2179424-79a6-4726-b403-0a0cfc3d5ca1,49,194954.99,2025-07-27,2025-08-10
89,eb51f9eb-32ec-409a-9c69-dc9ca1986e56,20,473819.96,2024-10-04,2024-10-11
90,8d5bc9c9-c1b6-4612-8c96-ee2771b1dcde,32,106745.48,2025-08-27,2025-09-10
91,bb7571c6-66f3-41d9-83c6-62f5c03afc8c,48,182776.4,2025-04-26,2025-06-21
92,77a0baeb-b459-47d6-b928-8d35f1a2268e,15,111152.28,2025-06-08,2025-07-06
93,8f1cc8d7-34d7-41dc-83db-fe3d97c5655f,1,415553.05,2024-10-17,2024-12-12
94,86f05866-1062-47ab-98b6-8e29dd0a856a,1,304496.21,2024-04-06,2024-05-04
95,f4919d6c-cd3e-485e-aa8c-f725dca77962,13,258762.29,2025-09-29,2025-10-13
96,f872ce77-c4cf-458f-8479-0c08f3f2ae73,12,274750.8,2025-10-14,2025-12-02
97,d30d1bad-7b9d-490c-8a30-91f0c8637cfe,17,394824.53,2025-02-09,2025-03-02
98,5ef23ea2-917b-42c5-85c4-ccc1d45a5190,42,424454.29,2024-02-10,2024-03-16
99,e88cc470-63af-4a44-99b4-e4f5c43b37f6,3,363459.78,2024-08-26,2024-09-09
100,8cff9f44-d968-4ebb-ba62-e235276bfa4d,9,8624.79,2024-12-30,2025-02-24
101,030cc1f8-24ba-4a41-8c55-313068ab6f56,4,355101.67,2024-10-13,2024-10-27
102,0d4dd5bd-3b8b-4645-bcc7-03c82e60359e,37,111470.28,2025-05-21,2025-06-25
103,714ae0df-058e-4aac-9c53-7cf6175513e5,36,323407.04,2024-10-04,2024-11-15
104,d690d0b2-0c68-46e8-8fc1-1a4c1e322cab,40,158235.36,2024-03-01,2024-04-26
105,f1bb6056-ed14-4565-8d13-ec0fac51c0bd,49,142138.68,2025-10-11,2025-11-01
106,f1c851c9-e47b-40c7-9073-2aafb18b5646,47,369012.46,2025-04-21,2025-04-28
107,d0545d88-ae8e-41d3-8d12-2f371090d85d,17,433447.33,2025-05-01,2025-05-22
108,43e76c2c-95d6-478e-95e2-0b9ed8a889a6,12,92840.75,2025-08-11,2025-09-29
109,f23f8597-0a5b-4613-86cd-56de89feca63,51,76355.77,2024-03-21,2024-05-16
110,537d86d4-a71b-4e69-94c6-a7942ad92b84,45,324614.66,2024-10-23,2024-10-30
111,b3a5b32e-e275-47b3-ad59-48d228c24f5f,7,58401.74,2024-08-07,2024-08-28
112,354e01b0-4bd0-4f65-8fb9-1af0a158687f,13,156211.99,2025-09-28,2025-10-05
113,051ce23c-6796-4938-a49d-84863457ddae,45,193833.84,2025-06-22,2025-08-10
114,b9b8b8be-9df2-4f0e-b63f-d613f9d25b26,10,275346.9,2024-02-21,2024-04-17
115,b2aea432-118d-4bfd-8002-6afde1c558c0,10,390622.84,2025-04-04,2025-04-25
116,dd282c4f-4716-4bef-b578-18066fb7f62a,26,447164.94,2024-02-02,2024-03-15
117,45bb8a50-e7ac-4fd4-95d8-1645602f3e98,37,183393.53,2025-02-28,2025-03-21
118,bde1fc43-7f2f-4e3c-99d2-642eece5f64b,22,235098.94,2025-02-23,2025-03-02
119,9e8d22a1-7d95-4fe0-ba26-0247b7eaa70f,4,52410.95,2025-09-11,2025-10-23
120,95533cf7-ebf9-48d8-92fb-146a4b1404ed,37,483019.94,2024-09-06,2024-09-27
